Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026159,Lincoln 009C,4,Social rented: Other social rented,33
E01026159,Lincoln 009C,5,Private rented: Private landlord or letting agency,144
E01026159,Lincoln 009C,6,Private rented: Other private rented,13
E01026159,Lincoln 009C,7,Lives rent free,0
E01026160,Lincoln 009D,-8,Does not apply,0
E01026160,Lincoln 009D,0,Owned: Owns outright,254
E01026160,Lincoln 009D,1,Owned: Owns with a mortgage or loan,214
E01026160,Lincoln 009D,2,Shared ownership: Shared ownership,0
E01026160,Lincoln 009D,3,Social rented: Rents from council or Local Authority,15
E01026160,Lincoln 009D,4,Social rented: Other social rented,5
E01026160,Lincoln 009D,5,Private rented: Private landlord or letting agency,111
E01026160,Lincoln 009D,6,Private rented: Other private rented,15
E01026160,Lincoln 009D,7,Lives rent free,0
E01026161,Lincoln 010A,-8,Does not apply,0
E01026161,Lincoln 010A,0,Owned: Owns outright,135
E01026161,Lincoln 010A,1,Owned: Owns with a mortgage or loan,158
E01026161,Lincoln 010A,2,Shared ownership: Shared ownership,3
E01026161,Lincoln 010A,3,Social rented: Rents from council or Local Authority,250
E01026161,Lincoln 010A,4,Social rented: Other social rented,18
E01026161,Lincoln 010A,5,Private rented: Private landlord or letting agency,81
E01026161,Lincoln 010A,6,Private rented: Other private rented,10
E01026161,Lincoln 010A,7,Lives rent free,7
E01026162,Lincoln 009E,-8,Does not apply,0
E01026162,Lincoln 009E,0,Owned: Owns outright,284
E01026162,Lincoln 009E,1,Owned: Owns with a mortgage or loan,184
E01026162,Lincoln 009E,2,Shared ownership: Shared ownership,0
E01026162,Lincoln 009E,3,Social rented: Rents from council or Local Authority,76
E01026162,Lincoln 009E,4,Social rented: Other social rented,18
E01026162,Lincoln 009E,5,Private rented: Private landlord or letting agency,69
E01026162,Lincoln 009E,6,Private rented: Other private rented,11
E01026162,Lincoln 009E,7,Lives rent free,0
E01026163,Lincoln 009F,-8,Does not apply,0
E01026163,Lincoln 009F,0,Owned: Owns outright,248
E01026163,Lincoln 009F,1,Owned: Owns with a mortgage or loan,219
E01026163,Lincoln 009F,2,Shared ownership: Shared ownership,1
E01026163,Lincoln 009F,3,Social rented: Rents from council or Local Authority,8
E01026163,Lincoln 009F,4,Social rented: Other social rented,2
E01026163,Lincoln 009F,5,Private rented: Private landlord or letting agency,114
E01026163,Lincoln 009F,6,Private rented: Other private rented,13
E01026163,Lincoln 009F,7,Lives rent free,0
E01026164,Lincoln 003F,-8,Does not apply,0
E01026164,Lincoln 003F,0,Owned: Owns outright,273
E01026164,Lincoln 003F,1,Owned: Owns with a mortgage or loan,181
E01026164,Lincoln 003F,2,Shared ownership: Shared ownership,1
E01026164,Lincoln 003F,3,Social rented: Rents from council or Local Authority,52
E01026164,Lincoln 003F,4,Social rented: Other social rented,2
E01026164,Lincoln 003F,5,Private rented: Private landlord or letting agency,53
E01026164,Lincoln 003F,6,Private rented: Other private rented,4
E01026164,Lincoln 003F,7,Lives rent free,0
E01026165,Lincoln 002D,-8,Does not apply,0
E01026165,Lincoln 002D,0,Owned: Owns outright,214
E01026165,Lincoln 002D,1,Owned: Owns with a mortgage or loan,185
E01026165,Lincoln 002D,2,Shared ownership: Shared ownership,10
E01026165,Lincoln 002D,3,Social rented: Rents from council or Local Authority,290
E01026165,Lincoln 002D,4,Social rented: Other social rented,24
E01026165,Lincoln 002D,5,Private rented: Private landlord or letting agency,87
E01026165,Lincoln 002D,6,Private rented: Other private rented,15
E01026165,Lincoln 002D,7,Lives rent free,6
E01026166,Lincoln 001C,-8,Does not apply,0
E01026166,Lincoln 001C,0,Owned: Owns outright,138
E01026166,Lincoln 001C,1,Owned: Owns with a mortgage or loan,139
E01026166,Lincoln 001C,2,Shared ownership: Shared ownership,25
E01026166,Lincoln 001C,3,Social rented: Rents from council or Local Authority,205
E01026166,Lincoln 001C,4,Social rented: Other social rented,25
E01026166,Lincoln 001C,5,Private rented: Private landlord or letting agency,56
E01026166,Lincoln 001C,6,Private rented: Other private rented,16
E01026166,Lincoln 001C,7,Lives rent free,3
E01026167,Lincoln 003G,-8,Does not apply,0
E01026167,Lincoln 003G,0,Owned: Owns outright,297
E01026167,Lincoln 003G,1,Owned: Owns with a mortgage or loan,157
E01026167,Lincoln 003G,2,Shared ownership: Shared ownership,2
E01026167,Lincoln 003G,3,Social rented: Rents from council or Local Authority,41
E01026167,Lincoln 003G,4,Social rented: Other social rented,18
E01026167,Lincoln 003G,5,Private rented: Private landlord or letting agency,259
E01026167,Lincoln 003G,6,Private rented: Other private rented,33
E01026167,Lincoln 003G,7,Lives rent free,3
E01026168,Lincoln 001D,-8,Does not apply,0
E01026168,Lincoln 001D,0,Owned: Owns outright,113
E01026168,Lincoln 001D,1,Owned: Owns with a mortgage or loan,123
E01026168,Lincoln 001D,2,Shared ownership: Shared ownership,15
E01026168,Lincoln 001D,3,Social rented: Rents from council or Local Authority,352
E01026168,Lincoln 001D,4,Social rented: Other social rented,25
E01026168,Lincoln 001D,5,Private rented: Private landlord or letting agency,52
E01026168,Lincoln 001D,6,Private rented: Other private rented,11
E01026168,Lincoln 001D,7,Lives rent free,4
E01026169,Lincoln 011G,-8,Does not apply,0
E01026169,Lincoln 011G,0,Owned: Owns outright,324
E01026169,Lincoln 011G,1,Owned: Owns with a mortgage or loan,185
E01026169,Lincoln 011G,2,Shared ownership: Shared ownership,2
E01026169,Lincoln 011G,3,Social rented: Rents from council or Local Authority,141
E01026169,Lincoln 011G,4,Social rented: Other social rented,7
E01026169,Lincoln 011G,5,Private rented: Private landlord or letting agency,48
E01026169,Lincoln 011G,6,Private rented: Other private rented,14
E01026169,Lincoln 011G,7,Lives rent free,3
E01026170,Lincoln 010B,-8,Does not apply,0
E01026170,Lincoln 010B,0,Owned: Owns outright,170
E01026170,Lincoln 010B,1,Owned: Owns with a mortgage or loan,184
E01026170,Lincoln 010B,2,Shared ownership: Shared ownership,6
E01026170,Lincoln 010B,3,Social rented: Rents from council or Local Authority,157
E01026170,Lincoln 010B,4,Social rented: Other social rented,27
E01026170,Lincoln 010B,5,Private rented: Private landlord or letting agency,87
E01026170,Lincoln 010B,6,Private rented: Other private rented,14
E01026170,Lincoln 010B,7,Lives rent free,1
E01026171,Lincoln 011H,-8,Does not apply,0
E01026171,Lincoln 011H,0,Owned: Owns outright,376
E01026171,Lincoln 011H,1,Owned: Owns with a mortgage or loan,216
E01026171,Lincoln 011H,2,Shared ownership: Shared ownership,1
E01026171,Lincoln 011H,3,Social rented: Rents from council or Local Authority,9
E01026171,Lincoln 011H,4,Social rented: Other social rented,11
E01026171,Lincoln 011H,5,Private rented: Private landlord or letting agency,74
E01026171,Lincoln 011H,6,Private rented: Other private rented,10
E01026171,Lincoln 011H,7,Lives rent free,0
E01026172,Lincoln 010C,-8,Does not apply,0
E01026172,Lincoln 010C,0,Owned: Owns outright,132
E01026172,Lincoln 010C,1,Owned: Owns with a mortgage or loan,166
E01026172,Lincoln 010C,2,Shared ownership: Shared ownership,13
E01026172,Lincoln 010C,3,Social rented: Rents from council or Local Authority,256
E01026172,Lincoln 010C,4,Social rented: Other social rented,11
E01026172,Lincoln 010C,5,Private rented: Private landlord or letting agency,56
E01026172,Lincoln 010C,6,Private rented: Other private rented,6
E01026172,Lincoln 010C,7,Lives rent free,5
E01026173,Lincoln 010D,-8,Does not apply,0
E01026173,Lincoln 010D,0,Owned: Owns outright,73
E01026173,Lincoln 010D,1,Owned: Owns with a mortgage or loan,85
E01026173,Lincoln 010D,2,Shared ownership: Shared ownership,1
E01026173,Lincoln 010D,3,Social rented: Rents from council or Local Authority,464
E01026173,Lincoln 010D,4,Social rented: Other social rented,12
E01026173,Lincoln 010D,5,Private rented: Private landlord or letting agency,44
E01026173,Lincoln 010D,6,Private rented: Other private rented,5
E01026173,Lincoln 010D,7,Lives rent free,11
E01026174,Lincoln 008D,-8,Does not apply,0
E01026174,Lincoln 008D,0,Owned: Owns outright,125
E01026174,Lincoln 008D,1,Owned: Owns with a mortgage or loan,178
E01026174,Lincoln 008D,2,Shared ownership: Shared ownership,5
E01026174,Lincoln 008D,3,Social rented: Rents from council or Local Authority,44
E01026174,Lincoln 008D,4,Social rented: Other social rented,19
E01026174,Lincoln 008D,5,Private rented: Private landlord or letting agency,271
E01026174,Lincoln 008D,6,Private rented: Other private rented,15
E01026174,Lincoln 008D,7,Lives rent free,1
E01026175,Lincoln 010E,-8,Does not apply,0
E01026175,Lincoln 010E,0,Owned: Owns outright,120
E01026175,Lincoln 010E,1,Owned: Owns with a mortgage or loan,213
E01026175,Lincoln 010E,2,Shared ownership: Shared ownership,6
E01026175,Lincoln 010E,3,Social rented: Rents from council or Local Authority,136
E01026175,Lincoln 010E,4,Social rented: Other social rented,66
E01026175,Lincoln 010E,5,Private rented: Private landlord or letting agency,368
E01026175,Lincoln 010E,6,Private rented: Other private rented,23
E01026175,Lincoln 010E,7,Lives rent free,1
E01026176,Lincoln 006B,-8,Does not apply,0
E01026176,Lincoln 006B,0,Owned: Owns outright,81
E01026176,Lincoln 006B,1,Owned: Owns with a mortgage or loan,52
E01026176,Lincoln 006B,2,Shared ownership: Shared ownership,5
E01026176,Lincoln 006B,3,Social rented: Rents from council or Local Authority,159
E01026176,Lincoln 006B,4,Social rented: Other social rented,140
E01026176,Lincoln 006B,5,Private rented: Private landlord or letting agency,531
E01026176,Lincoln 006B,6,Private rented: Other private rented,36
E01026176,Lincoln 006B,7,Lives rent free,7
E01026177,Lincoln 006C,-8,Does not apply,0
E01026177,Lincoln 006C,0,Owned: Owns outright,99
E01026177,Lincoln 006C,1,Owned: Owns with a mortgage or loan,108
E01026177,Lincoln 006C,2,Shared ownership: Shared ownership,4
E01026177,Lincoln 006C,3,Social rented: Rents from council or Local Authority,17
E01026177,Lincoln 006C,4,Social rented: Other social rented,26
E01026177,Lincoln 006C,5,Private rented: Private landlord or letting agency,536
E01026177,Lincoln 006C,6,Private rented: Other private rented,23
E01026177,Lincoln 006C,7,Lives rent free,0
E01026178,Lincoln 006D,-8,Does not apply,0
E01026178,Lincoln 006D,0,Owned: Owns outright,160
E01026178,Lincoln 006D,1,Owned: Owns with a mortgage or loan,152
E01026178,Lincoln 006D,2,Shared ownership: Shared ownership,3
E01026178,Lincoln 006D,3,Social rented: Rents from council or Local Authority,39
E01026178,Lincoln 006D,4,Social rented: Other social rented,34
E01026178,Lincoln 006D,5,Private rented: Private landlord or letting agency,394
E01026178,Lincoln 006D,6,Private rented: Other private rented,16
E01026178,Lincoln 006D,7,Lives rent free,2
E01026179,North Kesteven 008A,-8,Does not apply,0
E01026179,North Kesteven 008A,0,Owned: Owns outright,99
E01026179,North Kesteven 008A,1,Owned: Owns with a mortgage or loan,84
E01026179,North Kesteven 008A,2,Shared ownership: Shared ownership,4
E01026179,North Kesteven 008A,3,Social rented: Rents from council or Local Authority,39
E01026179,North Kesteven 008A,4,Social rented: Other social rented,7
E01026179,North Kesteven 008A,5,Private rented: Private landlord or letting agency,38
E01026179,North Kesteven 008A,6,Private rented: Other private rented,145
E01026179,North Kesteven 008A,7,Lives rent free,1
E01026180,North Kesteven 007A,-8,Does not apply,0
E01026180,North Kesteven 007A,0,Owned: Owns outright,293
E01026180,North Kesteven 007A,1,Owned: Owns with a mortgage or loan,173
E01026180,North Kesteven 007A,2,Shared ownership: Shared ownership,3
E01026180,North Kesteven 007A,3,Social rented: Rents from council or Local Authority,69
E01026180,North Kesteven 007A,4,Social rented: Other social rented,2
E01026180,North Kesteven 007A,5,Private rented: Private landlord or letting agency,64
E01026180,North Kesteven 007A,6,Private rented: Other private rented,13
E01026180,North Kesteven 007A,7,Lives rent free,1
E01026182,North Kesteven 003B,-8,Does not apply,0
E01026182,North Kesteven 003B,0,Owned: Owns outright,281
E01026182,North Kesteven 003B,1,Owned: Owns with a mortgage or loan,223
E01026182,North Kesteven 003B,2,Shared ownership: Shared ownership,9
E01026182,North Kesteven 003B,3,Social rented: Rents from council or Local Authority,43
E01026182,North Kesteven 003B,4,Social rented: Other social rented,16
E01026182,North Kesteven 003B,5,Private rented: Private landlord or letting agency,45
E01026182,North Kesteven 003B,6,Private rented: Other private rented,18
E01026182,North Kesteven 003B,7,Lives rent free,0
E01026183,North Kesteven 007B,-8,Does not apply,0
E01026183,North Kesteven 007B,0,Owned: Owns outright,460
E01026183,North Kesteven 007B,1,Owned: Owns with a mortgage or loan,310
E01026183,North Kesteven 007B,2,Shared ownership: Shared ownership,6
E01026183,North Kesteven 007B,3,Social rented: Rents from council or Local Authority,218
E01026183,North Kesteven 007B,4,Social rented: Other social rented,21
E01026183,North Kesteven 007B,5,Private rented: Private landlord or letting agency,131
E01026183,North Kesteven 007B,6,Private rented: Other private rented,35
E01026183,North Kesteven 007B,7,Lives rent free,5
E01026184,North Kesteven 004A,-8,Does not apply,0
E01026184,North Kesteven 004A,0,Owned: Owns outright,112
E01026184,North Kesteven 004A,1,Owned: Owns with a mortgage or loan,159
E01026184,North Kesteven 004A,2,Shared ownership: Shared ownership,2
E01026184,North Kesteven 004A,3,Social rented: Rents from council or Local Authority,7
E01026184,North Kesteven 004A,4,Social rented: Other social rented,18
E01026184,North Kesteven 004A,5,Private rented: Private landlord or letting agency,37
E01026184,North Kesteven 004A,6,Private rented: Other private rented,252
E01026184,North Kesteven 004A,7,Lives rent free,0
E01026185,North Kesteven 004B,-8,Does not apply,0
E01026185,North Kesteven 004B,0,Owned: Owns outright,381
E01026185,North Kesteven 004B,1,Owned: Owns with a mortgage or loan,326
E01026185,North Kesteven 004B,2,Shared ownership: Shared ownership,7
E01026185,North Kesteven 004B,3,Social rented: Rents from council or Local Authority,101
E01026185,North Kesteven 004B,4,Social rented: Other social rented,15
E01026185,North Kesteven 004B,5,Private rented: Private landlord or letting agency,147
E01026185,North Kesteven 004B,6,Private rented: Other private rented,18
E01026185,North Kesteven 004B,7,Lives rent free,1
E01026186,North Kesteven 001A,-8,Does not apply,0
E01026186,North Kesteven 001A,0,Owned: Owns outright,381
E01026186,North Kesteven 001A,1,Owned: Owns with a mortgage or loan,250
E01026186,North Kesteven 001A,2,Shared ownership: Shared ownership,1
E01026186,North Kesteven 001A,3,Social rented: Rents from council or Local Authority,11
E01026186,North Kesteven 001A,4,Social rented: Other social rented,4
E01026186,North Kesteven 001A,5,Private rented: Private landlord or letting agency,69
E01026186,North Kesteven 001A,6,Private rented: Other private rented,25
E01026186,North Kesteven 001A,7,Lives rent free,0
E01026187,North Kesteven 001B,-8,Does not apply,0
E01026187,North Kesteven 001B,0,Owned: Owns outright,241
E01026187,North Kesteven 001B,1,Owned: Owns with a mortgage or loan,386
E01026187,North Kesteven 001B,2,Shared ownership: Shared ownership,1
E01026187,North Kesteven 001B,3,Social rented: Rents from council or Local Authority,2
E01026187,North Kesteven 001B,4,Social rented: Other social rented,5
E01026187,North Kesteven 001B,5,Private rented: Private landlord or letting agency,129
E01026187,North Kesteven 001B,6,Private rented: Other private rented,17
E01026187,North Kesteven 001B,7,Lives rent free,0
E01026188,North Kesteven 004C,-8,Does not apply,0
